"","GameDate","start_date","end_date"
"133",2018-08-08,2018-08-08,2018-08-08
"134",2018-08-09,2018-08-09,2018-08-09
"135",2018-08-10,2018-08-10,2018-08-10
"136",2018-08-11,2018-08-11,2018-08-11
"137",2018-08-12,2018-08-12,2018-08-12
"138",2018-08-13,2018-08-13,2018-08-13
"139",2018-08-14,2018-08-14,2018-08-14
"140",2018-08-15,2018-08-15,2018-08-15
"141",2018-08-16,2018-08-16,2018-08-16
"142",2018-08-17,2018-08-17,2018-08-17
"143",2018-08-18,2018-08-18,2018-08-18
"144",2018-08-19,2018-08-19,2018-08-19
"145",2018-08-20,2018-08-20,2018-08-20
"146",2018-08-21,2018-08-21,2018-08-21
"147",2018-08-22,2018-08-22,2018-08-22
"148",2018-08-23,2018-08-23,2018-08-23
"149",2018-08-24,2018-08-24,2018-08-24
"150",2018-08-25,2018-08-25,2018-08-25
"151",2018-08-26,2018-08-26,2018-08-26
"152",2018-08-27,2018-08-27,2018-08-27
"153",2018-08-28,2018-08-28,2018-08-28
"154",2018-08-29,2018-08-29,2018-08-29
"155",2018-08-30,2018-08-30,2018-08-30
"156",2018-08-31,2018-08-31,2018-08-31
"157",2018-09-01,2018-09-01,2018-09-01
"158",2018-09-02,2018-09-02,2018-09-02
"159",2018-09-03,2018-09-03,2018-09-03
"160",2018-09-04,2018-09-04,2018-09-04
"161",2018-09-05,2018-09-05,2018-09-05
"162",2018-09-06,2018-09-06,2018-09-06
"163",2018-09-07,2018-09-07,2018-09-07
"164",2018-09-08,2018-09-08,2018-09-08
"165",2018-09-09,2018-09-09,2018-09-09
"166",2018-09-10,2018-09-10,2018-09-10
"167",2018-09-11,2018-09-11,2018-09-11
"168",2018-09-12,2018-09-12,2018-09-12
"169",2018-09-13,2018-09-13,2018-09-13
"170",2018-09-14,2018-09-14,2018-09-14
"171",2018-09-15,2018-09-15,2018-09-15
"172",2018-09-16,2018-09-16,2018-09-16
"173",2018-09-17,2018-09-17,2018-09-17
"174",2018-09-18,2018-09-18,2018-09-18
"175",2018-09-19,2018-09-19,2018-09-19
"176",2018-09-20,2018-09-20,2018-09-20
"177",2018-09-21,2018-09-21,2018-09-21
"178",2018-09-22,2018-09-22,2018-09-22
"179",2018-09-23,2018-09-23,2018-09-23
"180",2018-09-24,2018-09-24,2018-09-24
"181",2018-09-25,2018-09-25,2018-09-25
"182",2018-09-26,2018-09-26,2018-09-26
"183",2018-09-27,2018-09-27,2018-09-27
"184",2018-09-28,2018-09-28,2018-09-28
"185",2018-09-29,2018-09-29,2018-09-29
"186",2018-09-30,2018-09-30,2018-09-30
"187",2018-10-01,2018-10-01,2018-10-01
"188",2019-03-28,2019-03-28,2019-03-28
"189",2019-03-29,2019-03-29,2019-03-29
"190",2019-03-30,2019-03-30,2019-03-30
"191",2019-03-31,2019-03-31,2019-03-31
"192",2019-04-01,2019-04-01,2019-04-01
"193",2019-04-02,2019-04-02,2019-04-02
"194",2019-04-03,2019-04-03,2019-04-03
"195",2019-04-04,2019-04-04,2019-04-04
"196",2019-04-05,2019-04-05,2019-04-05
"197",2019-04-06,2019-04-06,2019-04-06
"198",2019-04-07,2019-04-07,2019-04-07
"199",2019-04-08,2019-04-08,2019-04-08
"200",2019-04-09,2019-04-09,2019-04-09
"201",2019-04-10,2019-04-10,2019-04-10
"202",2019-04-11,2019-04-11,2019-04-11
"203",2019-04-12,2019-04-12,2019-04-12
"204",2019-04-13,2019-04-13,2019-04-13
"205",2019-04-14,2019-04-14,2019-04-14
"206",2019-04-15,2019-04-15,2019-04-15
"207",2019-04-16,2019-04-16,2019-04-16
"208",2019-04-17,2019-04-17,2019-04-17
"209",2019-04-18,2019-04-18,2019-04-18
"210",2019-04-19,2019-04-19,2019-04-19
"211",2019-04-20,2019-04-20,2019-04-20
"212",2019-04-21,2019-04-21,2019-04-21
"213",2019-04-22,2019-04-22,2019-04-22
"214",2019-04-23,2019-04-23,2019-04-23
"215",2019-04-24,2019-04-24,2019-04-24
"216",2019-04-25,2019-04-25,2019-04-25
"217",2019-04-26,2019-04-26,2019-04-26
"218",2019-04-27,2019-04-27,2019-04-27
"219",2019-04-28,2019-04-28,2019-04-28
"220",2019-04-29,2019-04-29,2019-04-29
"221",2019-04-30,2019-04-30,2019-04-30
"222",2019-05-01,2019-05-01,2019-05-01
"223",2019-05-02,2019-05-02,2019-05-02
"224",2019-05-03,2019-05-03,2019-05-03
"225",2019-05-04,2019-05-04,2019-05-04
"226",2019-05-05,2019-05-05,2019-05-05
"227",2019-05-06,2019-05-06,2019-05-06
"228",2019-05-07,2019-05-07,2019-05-07
"229",2019-05-08,2019-05-08,2019-05-08
"230",2019-05-09,2019-05-09,2019-05-09
"231",2019-05-10,2019-05-10,2019-05-10
"232",2019-05-11,2019-05-11,2019-05-11
"233",2019-05-12,2019-05-12,2019-05-12
"234",2019-05-13,2019-05-13,2019-05-13
"235",2019-05-14,2019-05-14,2019-05-14
"236",2019-05-15,2019-05-15,2019-05-15
"237",2019-05-16,2019-05-16,2019-05-16
"238",2019-05-17,2019-05-17,2019-05-17
"239",2019-05-18,2019-05-18,2019-05-18
"240",2019-05-19,2019-05-19,2019-05-19
"241",2019-05-20,2019-05-20,2019-05-20
"242",2019-05-21,2019-05-21,2019-05-21
"243",2019-05-22,2019-05-22,2019-05-22
"244",2019-05-23,2019-05-23,2019-05-23
"245",2019-05-24,2019-05-24,2019-05-24
